Product Name,SKU,Image URL,Item Description,Color,Size,Material,URL
"Peugeot Madras Pepper Mill, 16cmPeugeot Madras Pepper Mill, 16cm",100450,https://peugeotmillsaustralia.com.au/cdn/shop/files/100450_a-peugeot.png?v=1751432718&width=416,"Awaken your senses with this manual pepper mill from the Paris u'Select collection. Classic lines, the Peugeot pepper mill is essential for chefs and lovers of flavour. The Madras mill features a very recent innovation: removal of the central vertical shaft. Invisible from the outside yet essential for use, this system makes it much easier and quicker to refill the mill; Simply remove the magnetic cover on the top of the mill. Peugeot’s patented U-Select system makes the mill fully adjustable from fine to coarse or anywhere in between. And to top it all, the Madras mill  is equipped with the Peugeot pepper grinding mechanism, which comes with a lifetime guarantee. Made in France Wood sourced from French PEFC™-certified forests u'Select grind adjustment system with six predefined grind settings Water-based paint and varnish Mechanism with a lifetime warranty For grinding black, white, green and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds",Chocolate,16cm,Wood & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-madras-pepper-mill-16-cm
"Peugeot Daman u'Select Pepper Mill, 21cmPeugeot Daman u'Select Pepper Mill, 21cm",100447,https://peugeotmillsaustralia.com.au/cdn/shop/files/100447_a-peugeot.png?v=1751432725&width=416,"The Peugeot Daman Pepper Mill is a perfect combination of style and performance. This 21 cm manual acrylic & stainless steel pepper mill is fitted with a reservoir with a magnetic cover to make filling easier and features the u'Select grinding mechanism. Lifetime mechanism warranty u'Select Grinding Mechanism Designed in France Only use black, white or green peppercorns up to 6mm in size. Do not use salt in pepper mill.",Transparent,21cm,Acrylic & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-daman-uselect-pepper-mill-21-cm
"Peugeot Daman u'Select Pepper Mill, 16cmPeugeot Daman u'Select Pepper Mill, 16cm",100445,https://peugeotmillsaustralia.com.au/cdn/shop/files/100445_a-peugeot.png?v=1751432731&width=416,"The Peugeot DamanPepper Mill is a perfect combination of style and performance. This 16 cm manual acrylic & stainless steel pepper mill is fitted with a reservoir with a magnetic cover to make filling easier and features the u'Select grinding mechanism. Lifetime mechanism warranty u'Select Grinding Mechanism Designed in France Only use black, white or green peppercorns up to 6mm in size. Do not use salt in pepper mill.",Transparent,16cm,Acrylic & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-daman-uselect-pepper-mill-16-cm
"Peugeot Line Pepper Mill, 22cmPeugeot Line Pepper Mill, 22cm",100435,https://peugeotmillsaustralia.com.au/cdn/shop/files/100435_a-peugeot.png?v=1751432741&width=416,"This magnificent Line pepper mill features a head crafted from wood and a striated aluminum body. With its stylish combination of materials and superb graphical effect, it is a must-have for the table. This pepper mill is made in France and houses Peugeot's famous lifetime-guaranteed mechanism. The button on top of the mill is adorned with the Lion's mark and can be easily used to adjust the grind setting. perfect for use on the table Made in France Wood sourced from French PEFC™ -certified forests Mechanism with a lifetime warranty Five-year warranty for the mill For grinding black, white, green, and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds Grind adjustment button: the more the button is screwed, the finer the grind, and vice versa.",Graphite & Carbon,22cm,Aluminium,https://peugeotmillsaustralia.com.au/products/peugeot-line-pepper-mill-22-cm
"Peugeot Line Pepper Mill, 18cmPeugeot Line Pepper Mill, 18cm",100432,https://peugeotmillsaustralia.com.au/cdn/shop/files/100432_a-peugeot.png?v=1751432749&width=416,"This magnificent Line pepper mill features a head crafted from wood and a striated aluminum body. With its stylish combination of materials and superb graphical effect, it is a must-have for the table. This pepper mill is made in France and houses Peugeot's famous lifetime-guaranteed mechanism. The button on top of the mill is adorned with the Lion's mark and can be easily used to adjust the grind setting. perfect for use on the table Made in France Wood sourced from French PEFC™ -certified forests Mechanism with a lifetime warranty Five-year warranty for the mill For grinding black, white, green, and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds Grind adjustment button: the more the button is screwed, the finer the grind, and vice versa.",Natural Wood & Aluminium,18cm,Aluminium,https://peugeotmillsaustralia.com.au/products/peugeot-line-pepper-mill-18-cm
"Peugeot Fidji Pepper Mill, 20cmPeugeot Fidji Pepper Mill, 20cm",100423,https://peugeotmillsaustralia.com.au/cdn/shop/files/100423_a-peugeot.png?v=1751432766&width=416,"The contrast between the black wood body and the stainless steel head of the Fidji pepper mill gives a real balance to this piece. The grip of this mill is perfect thanks to its slender tapered silhouette in wood. As with all Peugeot mills, the steel grinding mechanism comes with a lifetime guarantee. The button on the mill allows you to choose your coarseness: loosening it will give coarser grinding. Beautiful and functional, the Fidji mill will be the perfect partner for your seasoning. Made in France Matte black finish on beech wood, stainless steel head Wood sourced from French PEFC™-certified forests Mechanism with a lifetime warranty For grinding peppercorns only, do not use for salt or other spices.",Olive Wood,20cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-fidji-pepper-mill-20-cm
"Peugeot Fidji Pepper Mill, 15cmPeugeot Fidji Pepper Mill, 15cm",100417,https://peugeotmillsaustralia.com.au/cdn/shop/files/100417_a-peugeot.png?v=1751432781&width=416,"The contrast between the black wood body and the stainless steel head of the Fidji pepper mill gives a real balance to this piece. The grip of this mill is perfect thanks to its slender tapered silhouette in wood. As with all Peugeot mills, the steel grinding mechanism comes with a lifetime guarantee. The button on the mill allows you to choose your coarseness: loosening it will give coarser grinding. Beautiful and functional, the Fidji mill will be the perfect partner for your seasoning. Made in France Matte black finish on beech wood, stainless steel head Wood sourced from French PEFC™-certified forests Mechanism with a lifetime warranty For grinding peppercorns only, do not use for salt or other spices.",Black,15cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-fidji-pepper-mill-15-cm
"Peugeot Fidji Pepper Mill, 12cmPeugeot Fidji Pepper Mill, 12cm",100415,https://peugeotmillsaustralia.com.au/cdn/shop/files/100415_a-peugeot.png?v=1751432787&width=416,"The contrast between the black wood body and the stainless steel head of the Fidji pepper mill gives a real balance to this piece. The grip of this mill is perfect thanks to its slender tapered silhouette in wood. As with all Peugeot mills, the steel grinding mechanism comes with a lifetime guarantee. The button on the mill allows you to choose your coarseness: loosening it will give coarser grinding. Beautiful and functional, the Fidji mill will be the perfect partner for your seasoning. Made in France Matte black finish on beech wood, stainless steel head Wood sourced from French PEFC™-certified forests Mechanism with a lifetime warranty For grinding peppercorns only, do not use for salt or other spices.",Black,12cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-fidji-pepper-mill-12-cm
"Peugeot Tahiti Pepper Mill, 20cmPeugeot Tahiti Pepper Mill, 20cm",100412,https://peugeotmillsaustralia.com.au/cdn/shop/files/100412_a-peugeot.png?v=1751432791&width=416,"Created in 1968, the Tahiti pepper mill is timeless. With its elegant lines and its slender body in matteblack wood, the Tahiti mill is very much in line with current trends. The button, marked with the lion’s head adds a perfect touch to the pretty silhouette. It also conceals the grinding adjustment system that allows you to change the coarseness of your pepper. The strong cutting pepper grinding mechanism comes with a lifetime guarantee. Made In France. Wood sourced from French PEFC-certified forests. Water-based paint. Classic Grinding Mechanism: the tighter it is screwed, the finer the grind and vice versa. Each mechanism comes with a lifetime warranty. Pepper mill for grinding black, white, green, red and pink peppercorns (up to 15% in a blend) as well as coriander seeds.",Black Matte,20cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-tahiti-pepper-mill-20-cm
"Peugeot Tahiti Pepper Mill, 15cmPeugeot Tahiti Pepper Mill, 15cm",100410,https://peugeotmillsaustralia.com.au/cdn/shop/files/100410_a-peugeot.png?v=1751432795&width=416,"Created in 1968, the Tahiti pepper mill is timeless. With its elegant lines and its slender body in matteblack wood, the Tahiti mill is very much in line with current trends. The button, marked with the lion’s head adds a perfect touch to the pretty silhouette. It also conceals the grinding adjustment system that allows you to change the coarseness of your pepper. The strong cutting pepper grinding mechanism comes with a lifetime guarantee. Made In France. Wood sourced from French PEFC-certified forests. Water-based paint. Classic Grinding Mechanism: the tighter it is screwed, the finer the grind and vice versa. Each mechanism comes with a lifetime warranty. Pepper mill for grinding black, white, green, red and pink peppercorns (up to 15% in a blend) as well as coriander seeds.",Black Matte,15cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-tahiti-pepper-mill-15-cm
"Peugeot Tahiti Salt & Pepper Mills Duo, 20cmPeugeot Tahiti Salt & Pepper Mills Duo, 20cm",100405,https://peugeotmillsaustralia.com.au/cdn/shop/files/100405_a-peugeot.png?v=1751432797&width=416,"This Tahiti duo of salt and pepper mills has classic elegant shades. Its slender body with elongated curves incorporates the efficient Peugeot grinding mechanism, which comes with a lifetime guarantee. The wood, taken from European forests, managed sustainably, offers a smooth and subtle feel for simple enjoyable use. The button on the top of the mills is used to adjust grinding: the tighter it is, the finer the grinding. This Tahiti duo of mills goes perfectly with your contemporary tables Made In France. Wood sourced from French PEFC-certified forests. Water-based paint. Classic Grinding Mechanism: the tighter it is screwed, the finer the grind and vice versa. Each mechanism comes with a lifetime warranty. Pepper mill for grinding black, white, green, red and pink peppercorns (up to 15% in a blend) as well as coriander seeds. Salt mill for grinding dry rock salt with a crystal size of less than or equal to 4mm. Do not use wet or dried sea salt.",Black & White,20cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-tahiti-salt-pepper-mills-duo-20cm
"Peugeot Tahiti Salt & Pepper Mills Duo, 15cmPeugeot Tahiti Salt & Pepper Mills Duo, 15cm",100400,https://peugeotmillsaustralia.com.au/cdn/shop/files/100400_a-peugeot.png?v=1751432799&width=416,"This dynamic Tahiti set of salt and pepper mills will look sensational on your dining table and put the panache into all your culinary creations. Even if you are dazzled and distracted by their colours, this striking contrast makes it easy to identify which is which. The French-made manual wooden salt and pepper mills are equipped with a lifetime-guaranteed steel mechanism and the buttons that adorn each of them disguise a clever way of adjusting the grind setting so you can achieve the texture best suited to your taste and recipe requirements Made In France. Wood sourced from French PEFC-certified forests. Water-based paint. Classic Grinding Mechanism: the tighter it is screwed, the finer the grind and vice versa. Each mechanism comes with a lifetime warranty. Pepper mill for grinding black, white, green, red and pink peppercorns (up to 15% in a blend) as well as coriander seeds. Salt mill for grinding dry rock salt with a crystal size of less than or equal to 4mm. Do not use wet or dried sea salt.",Air,15cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-tahiti-salt-pepper-mills-duo-15cm
"Peugeot Boreal Pepper Mill, 21cmPeugeot Boreal Pepper Mill, 21cm",100392,https://peugeotmillsaustralia.com.au/cdn/shop/files/100392_a-peugeot.png?v=1751432818&width=416,"The Boreal Pepper mill is warm and modern. Its intense colour is perfect for creating a stylish pair with one of the Salt mills in the Boreal collection. Made in France PEFC™ wood, from French forests Water-based paint Mechanism with a lifetime guarantee Classic grinding mechanism Ideal gift for yourself or others For grinding black, white, green, and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds. Grind adjustment button: the more the button is screwed, the finer the grind, and vice versa.",Hazelnut,21cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-boreal-pepper-mill-21-cm
"Peugeot Parisrama u'Select Pepper Mill, 18cmPeugeot Parisrama u'Select Pepper Mill, 18cm",100370,https://peugeotmillsaustralia.com.au/cdn/shop/files/100370_a-peugeot.png?v=1751432836&width=416,"The Paris-rama u'Select Pepper Mill now features the u'Select grinding mechanism. This Peugeot signature item is produced entirely in France, using beech sourced from local sustainably managed forests. It is equipped with a steel mechanism designed for perfect grinding of black, white, green or red peppercorns, and a patented system for precise grinding control. The mill presents a modern look in these ultra-bright, high-gloss, colours. Made In France PEFC wood from French Forests u'Select Grinding Mechanism Lifetime mechanism warranty",Pacific Blue,18cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-uselect-pepper-mill-18-cm-1
"Paris Graphite Light u'Select Salt & Pepper Mill Duo with Stainless Steel Funnel, 18cmParis Graphite Light u'Select Salt & Pepper Mill Duo with Stainless Steel Funnel, 18cm",100365,https://peugeotmillsaustralia.com.au/cdn/shop/files/PeugeotGraphiteLight_4.jpg?v=1751432851&width=416,"The Paris Graphite Light u'Select Salt & Pepper Mill Duo is the perfect gift for lovers of fresh spices and classic designs with a modern twist. Included in the gift box: - 1 x Paris u'Select Pepper Mill in Graphite finish, 18cm - 1 x Paris u'Select Salt Mill in Graphite Light finish, 18cm - 1 x Stainless Steel funnel for easy refilling of the mills Features: Made in France Wood sourced from French PEFC™-certified forests u'Select grind adjustment system with six predefined settings Water-based paint and varnish Mechanisms come with a lifetime warranty",Graphite,18cm,Wood,https://peugeotmillsaustralia.com.au/products/paris-graphite-light-uselect-salt-pepper-mill-duo-with-stainless-steel-funnel-18cm
"Peugeot Paris u'Select Pepper Mill, 40cmPeugeot Paris u'Select Pepper Mill, 40cm",100284,https://peugeotmillsaustralia.com.au/cdn/shop/files/100284_a-peugeot.png?v=1751432857&width=416,"An iconic piece with two hundred years of expertise behind it, the Paris u’Select pepper mill combines beauty and ingenuity to bring out flavour and to delight the senses. With the Peugeot pepper grinding mechanism, designed to bring out the peppercorn aromas, the Paris manual mill is a must have in cooking and seasoning. The u'Select grind control system also lets you easily select the most suitable grinding size for your tastes. Position the ring at the base of your mill on 1 for extremely fine grinding and on 6 for much coarser grinding or anywhere in between Made In France PEFC wood from French Forests u'Select grinding mechanism Lifetime mechanism warranty For grinding black, white, green and red pepper, and pink peppercorns (no more than 15% in a pepper blend).",Natural Wood,40cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-uselect-pepper-mill-40-cm
"Peugeot Paris u'Select Pepper Mill, 30cmPeugeot Paris u'Select Pepper Mill, 30cm",100314,https://peugeotmillsaustralia.com.au/cdn/shop/files/100314_a-peugeot.png?v=1751432880&width=416,"An iconic piece with two hundred years of expertise behind it, the Paris u’Select pepper mill combines beauty and ingenuity to bring out flavour and to delight the senses. With the Peugeot pepper grinding mechanism, designed to bring out the peppercorn aromas, the Paris manual mill is a must have in cooking and seasoning. The u'Select grind control system also lets you easily select the most suitable grinding size for your tastes. Position the ring at the base of your mill on 1 for extremely fine grinding and on 6 for much coarser grinding or anywhere in between Made In France PEFC wood from French Forests u'Select grinding mechanism Lifetime mechanism warranty For grinding black, white, green and red pepper, and pink peppercorns (no more than 15% in a pepper blend).",Graphite,30cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-uselect-pepper-mill-30-cm
"Peugeot Paris u'Select Pepper Mill, 27cmPeugeot Paris u'Select Pepper Mill, 27cm",100297,https://peugeotmillsaustralia.com.au/cdn/shop/files/100297_a-peugeot.png?v=1751432891&width=416,"An iconic piece with two hundred years of expertise behind it, the Paris u’Select pepper mill combines beauty and ingenuity to bring out flavour and to delight the senses. With the Peugeot pepper grinding mechanism, designed to bring out the peppercorn aromas, the Paris manual mill is a must have in cooking and seasoning. The u'Select grind control system also lets you easily select the most suitable grinding size for your tastes. Position the ring at the base of your mill on 1 for extremely fine grinding and on 6 for much coarser grinding or anywhere in between Made In France PEFC wood from French Forests u'Select grinding mechanism Lifetime mechanism warranty For grinding black, white, green and red pepper, and pink peppercorns (no more than 15% in a pepper blend).",Chocolate,27cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-uselect-pepper-mill-27-cm
"Peugeot Paris u'Select Pepper Mill, 22cmPeugeot Paris u'Select Pepper Mill, 22cm",100312,https://peugeotmillsaustralia.com.au/cdn/shop/files/100312_a-peugeot.png?v=1751432904&width=416,"An iconic piece with two hundred years of expertise behind it, the Paris u’Select pepper mill combines beauty and ingenuity to bring out flavour and to delight the senses. With the Peugeot pepper grinding mechanism, designed to bring out the peppercorn aromas, the Paris manual mill is a must have in cooking and seasoning. The u'Select grind control system also lets you easily select the most suitable grinding size for your tastes. Position the ring at the base of your mill on 1 for extremely fine grinding and on 6 for much coarser grinding or anywhere in between Made In France PEFC wood from French Forests u'Select grinding mechanism Lifetime mechanism warranty For grinding black, white, green and red pepper, and pink peppercorns (no more than 15% in a pepper blend).",Graphite,22cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-uselect-pepper-mill-22-cm
"Peugeot Paris u'Select Pepper Mill, 18cmPeugeot Paris u'Select Pepper Mill, 18cm",100275,https://peugeotmillsaustralia.com.au/cdn/shop/files/100275_a-peugeot.png?v=1751432924&width=416,"An iconic piece with two hundred years of expertise behind it, the Paris u’Select pepper mill combines beauty and ingenuity to bring out flavour and to delight the senses. With the Peugeot pepper grinding mechanism, designed to bring out the peppercorn aromas, the Paris manual mill is a must have in cooking and seasoning. The u'Select grind control system also lets you easily select the most suitable grinding size for your tastes. Position the ring at the base of your mill on 1 for extremely fine grinding and on 6 for much coarser grinding or anywhere in between Made In France PEFC wood from French Forests u'Select grinding mechanism Lifetime mechanism warranty For grinding black, white, green and red pepper, and pink peppercorns (no more than 15% in a pepper blend).",Natural Wood,18cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-uselect-pepper-mill-18-cm
"Peugeot Paris u'Select Pepper Mill, 15cmPeugeot Paris u'Select Pepper Mill, 15cm",100272,https://peugeotmillsaustralia.com.au/cdn/shop/files/100272_a-peugeot.png?v=1751432952&width=416,"An iconic piece with two hundred years of expertise behind it, the Paris u’Select pepper mill combines beauty and ingenuity to bring out flavour and to delight the senses. With the Peugeot pepper grinding mechanism, designed to bring out the peppercorn aromas, the Paris manual mill is a must have in cooking and seasoning. The u'Select grind control system also lets you easily select the most suitable grinding size for your tastes. Position the ring at the base of your mill on 1 for extremely fine grinding and on 6 for much coarser grinding or anywhere in between Made In France PEFC wood from French Forests u'Select grinding mechanism Lifetime mechanism warranty For grinding black, white, green and red pepper, and pink peppercorns (no more than 15% in a pepper blend).",Natural Wood,15cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-uselect-pepper-mill-15-cm
"Peugeot Paris u'Select Pepper Mill, 12cmPeugeot Paris u'Select Pepper Mill, 12cm",100270,https://peugeotmillsaustralia.com.au/cdn/shop/files/100270_a-peugeot.png?v=1751432964&width=416,"An iconic piece with two hundred years of expertise behind it, the Paris u’Select pepper mill combines beauty and ingenuity to bring out flavour and to delight the senses. With the Peugeot pepper grinding mechanism, designed to bring out the peppercorn aromas, the Paris manual mill is a must have in cooking and seasoning. The u'Select grind control system also lets you easily select the most suitable grinding size for your tastes. Position the ring at the base of your mill on 1 for extremely fine grinding and on 6 for much coarser grinding or anywhere in between Made In France PEFC wood from French Forests u'Select grinding mechanism Lifetime mechanism warranty For grinding black, white, green and red pepper, and pink peppercorns (no more than 15% in a pepper blend).",Natural Wood,12cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-uselect-pepper-mill-12-cm
"Paris Chef u'Select Salt and Pepper Mill Duo, 18cmParis Chef u'Select Salt and Pepper Mill Duo, 18cm",100265,https://peugeotmillsaustralia.com.au/cdn/shop/files/100265_a-peugeot.png?v=1751432974&width=416,"Peugeot's Paris Chef, beloved by chefs, boasts a sleek stainless steel body and u'Select grinding mechanism for precision. With their iconic profiles and durable finishes, this set of mills elevates flavour effortlessly. u'Select grind adjustment system with six predefined settings Stylish stainless steel body Lifetime warranty on the grinding mechanisms",Stainless Steel,18cm,Stainless Steel,https://peugeotmillsaustralia.com.au/products/paris-chef-uselect-salt-and-pepper-mill-duo-18-cm
"Peugeot Paris Chef u'Select Pepper Mill, 30cmPeugeot Paris Chef u'Select Pepper Mill, 30cm",100256,https://peugeotmillsaustralia.com.au/cdn/shop/files/100256_a-peugeot.png?v=1751432975&width=416,"A large-capacity reservoir, with stainless steel coating and a selection of grinding size, this pepper mill provides all the functions that you need for cooking under the conditions of a great chef. Excellent grip with the mill's curved shape Made in France Mechanism with a lifetime warranty Five-year warranty for the mill For grinding black, white, green and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds Patented u'Select grind adjustment system",Stainless Steel,30cm,Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-paris-chef-uselect-pepper-mill-30-cm
"Peugeot Paris Chef u'Select Pepper Mill, 22cmPeugeot Paris Chef u'Select Pepper Mill, 22cm",100253,https://peugeotmillsaustralia.com.au/cdn/shop/files/100253_a-peugeot.png?v=1751432977&width=416,"The Paris Chef pepper mill replicates the lines of the emblematic Peugeot mill in a brilliant stainless steel finish. A professional mill to accompany you in the seasoning of your dishes. Height: 22 cm Excellent grip with the mill's curved shape Made in France Mechanism with a lifetime warranty Five-year warranty for the mill For grinding black, white, green and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds Patented u'Select grind adjustment system",Stainless Steel,22cm,Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-paris-chef-uselect-pepper-mill-22-cm
"Peugeot Paris Chef u'Select Pepper Mill, 18cmPeugeot Paris Chef u'Select Pepper Mill, 18cm",100250,https://peugeotmillsaustralia.com.au/cdn/shop/files/100250_a-peugeot.png?v=1751432982&width=416,"The Peugeot Paris Chef pepper mill made entirely of stainless steel is the mill of the great chefs. With its emblematic shape and its stainless steel coating, it will instantly appeal to the most discerning of lovers of flavours. Excellent grip with the mill's curved shape Made in France Mechanism with a lifetime warranty Five-year warranty for the mill For grinding black, white, green and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds Patented u'Select grind adjustment system",Stainless Steel,18cm,Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-paris-chef-uselect-pepper-mill-in-stainless-steel-18-cm
"Peugeot Paris Antique Pepper Mill, 22cmPeugeot Paris Antique Pepper Mill, 22cm",100241,https://peugeotmillsaustralia.com.au/cdn/shop/files/100241_a-peugeot.png?v=1751432986&width=416,"In tribute to the exceptional adventure of the Peugeot mills, the Paris Antique collection pepper mill evokes the past. The magical charm of the patina of age has been restored by hand with the greatest delicacy. The PEFC™ certified beech wood used to carve the mill is selected with the greatest care. The knob located on the top of the mill, with an aged appearance and marked with the lion’s head, is used to adjust the grind of the pepper. The tighter the knob, the finer the grind. Its mechanism, treated against corrosion, comes with a lifetime guarantee. Collectors or lovers of antique objects, this pepper mill is made for you. Made in France Wood sourced from French PEFC™-certified forests Mechanism carries a lifetime warranty Adjust grind with turn of knob, turn head of mill clockwise only to grind. Two year warranty for the body of the mill For grinding black, white, green and red pepper, and pink peppercorns (no more than 15% in a pepper blend).",Aged Wood,22cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-antique-pepper-mill-22-cm
"Peugeot Paris Antique Pepper Mill, 18cmPeugeot Paris Antique Pepper Mill, 18cm",100239,https://peugeotmillsaustralia.com.au/cdn/shop/files/100239_a-peugeot.png?v=1751432988&width=416,"In tribute to the exceptional adventure of the Peugeot mills, the Paris Antique collection pepper mill evokes the past. The magical charm of the patina of age has been restored by hand with the greatest delicacy. The PEFC™ certified beech wood used to carve the mill is selected with the greatest care. The knob located on the top of the mill, with an aged appearance and marked with the lion’s head, is used to adjust the grind of the pepper. The tighter the knob, the finer the grind. Its mechanism, treated against corrosion, comes with a lifetime guarantee. Collectors or lovers of antique objects, this pepper mill is made for you. Made in France Wood sourced from French PEFC™-certified forests Mechanism carries a lifetime warranty Adjust grind with turn of knob, turn head of mill clockwise only to grind. Two year warranty for the body of the mill For grinding black, white, green and red pepper, and pink peppercorns (no more than 15% in a pepper blend).",Aged Wood,18cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-antique-pepper-mill-18-cm
